updated,open,high,low,close,average,volume
2023-01-11,17442.44,17986.45,17324.71,17938.0,17655.58,63571
2023-01-10,17179.03,17484.36,17148.57,17442.44,17316.465,57628
2023-01-09,17115.81,17387.59,17103.2,17179.03,17245.395,73779
2023-01-08,16942.73,17132.21,16913.28,17115.81,17022.745,21159
2023-01-07,16946.16,16972.62,16905.39,16942.73,16939.004999999997,11628
2023-01-06,16825.87,17013.77,16687.42,16946.16,16850.595,52488
2023-01-05,16846.82,16869.84,16764.64,16825.87,16817.239999999998,31174
2023-01-04,16670.16,16972.62,16651.02,16846.82,16811.82,58841
2023-01-03,16670.08,16766.7,16605.01,16670.16,16685.855,37684
2023-01-02,16613.87,16768.07,16544.15,16670.08,16656.11,30159
2023-01-01,16531.31,16619.82,16502.85,16613.87,16561.335,20256
2022-12-31,16599.47,16625.46,16487.05,16531.31,16556.254999999997,27594
2022-12-30,16631.24,16637.25,16364.76,16599.47,16501.005,53276
2022-12-29,16540.47,16650.11,16487.13,16631.24,16568.620000000003,41148
2022-12-28,16700.54,16767.99,16471.35,16540.47,16619.67,54253
2022-12-27,16916.07,16960.3,16606.04,16700.54,16783.17,42994
2022-12-26,16829.1,16926.73,16796.91,16916.07,16861.82,20635
2022-12-25,16837.16,16850.93,16736.37,16829.1,16793.65,17605
2022-12-24,16780.97,16857.81,16779.49,16837.16,16818.65,17417
2022-12-23,16816.01,16907.78,16763.01,16780.97,16835.394999999997,46894
2022-12-22,16821.13,16860.78,16571.31,16816.01,16716.045,48646
2022-12-21,16901.12,16922.92,16737.8,16821.13,16830.36,42277
2022-12-20,16442.79,17028.68,16404.94,16901.12,16716.809999999998,78296
2022-12-19,16742.74,16813.47,16350.32,16442.79,16581.895,63181
2022-12-18,16780.55,16830.84,16673.02,16742.74,16751.93,25188
2022-12-17,16658.44,16794.06,16593.68,16780.55,16693.870000000003,40996
2022-12-16,17359.21,17520.63,16611.58,16658.44,17066.105000000003,88776
2022-12-15,17801.37,17853.72,17296.89,17359.21,17575.305,68490
2022-12-14,17775.32,18344.32,17684.33,17801.37,18014.325,84917
2022-12-13,17208.66,17945.07,17096.23,17775.32,17520.65,80026
2022-12-12,17094.83,17239.13,16881.75,17208.66,17060.440000000002,43450
2022-12-11,17129.19,17259.64,17080.42,17094.83,17170.03,22135
2022-12-10,17126.85,17221.25,17102.71,17129.19,17161.98,17288
2022-12-09,17226.02,17319.38,17077.4,17126.85,17198.39,41460
2022-12-08,16837.85,17286.64,16757.86,17226.02,17022.25,48682
2022-12-07,17086.52,17126.91,16713.28,16837.85,16920.095,42127
2022-12-06,16966.84,17101.02,16917.86,17086.52,17009.440000000002,47766
2022-12-05,17111.76,17409.45,16879.12,16966.84,17144.285,62808
2022-12-04,16888.31,17194.4,16884.91,17111.76,17039.655,29823
2022-12-03,17094.49,17152.49,16868.66,16888.31,17010.575,24699
2022-12-02,16978.64,17102.08,16827.01,17094.49,16964.545,45492
2022-12-01,17162.35,17255.22,16865.92,16978.64,17060.57,57361
2022-11-30,16431.79,17216.6,16424.76,17162.35,16820.68,86349
2022-11-29,16207.01,16528.39,16096.7,16431.79,16312.545,50846
2022-11-28,16420.87,16477.82,16000.76,16207.01,16239.29,53565
